date,amount,category,description
22-09-2024,350,Passive Income,webdl bot
22-09-2024,200.0,Expense,partyyyyyyyyyyy
23-09-2024,50.0,Passive Income,tips
23-09-2024,375.0,Expense,Surgery
23-09-2024,50.0,Income,found it!
23-09-2024,800.0,Income,2nd job salary
23-09-2024,300.0,Expense,debt
24-09-2024,500.0,Income,freelance work
24-09-2024,150.0,Expense,groceries
25-09-2024,1200.0,Passive Income,dividend payout
25-09-2024,400.0,Expense,rent
26-09-2024,600.0,Income,main job salary
26-09-2024,350.0,Expense,entertainment
27-09-2024,1000.0,Income,freelance bonus
27-09-2024,250.0,Expense,utility bills
28-09-2024,450.0,Income,online course
28-09-2024,175.0,Expense,subscription services
29-09-2024,1100.0,Passive Income,rental income
29-09-2024,600.0,Expense,car repair
30-09-2024,900.0,Income,main job salary
30-09-2024,200.0,Expense,dining out
01-10-2024,700.0,Income,project bonus
01-10-2024,500.0,Expense,shopping
